Origin,Destination,Distance_km
"Ampton Street , Clerkenwell","Torrens Street, Angel",1.0416
"Ampton Street , Clerkenwell","Union Street, The Borough",2.9595
"Ampton Street , Clerkenwell","Vauxhall Bridge , Pimlico",4.3945
"Ampton Street , Clerkenwell","Vauxhall Cross, Vauxhall",4.6193
"Ampton Street , Clerkenwell","Wapping High Street, Wapping",4.2799
"Ampton Street , Clerkenwell","Warwick Avenue Station, Maida Vale",4.556
"Ampton Street , Clerkenwell","Warwick Row, Westminster",3.6764
"Ampton Street , Clerkenwell","Wellington Road, St. John's Wood",3.8059
"Ampton Street , Clerkenwell","Wenlock Road , Hoxton",1.737
"Ampton Street , Clerkenwell","West Cromwell Road, Earl's Court",6.6759
"Ampton Street , Clerkenwell","West Smithfield Rotunda, Farringdon",1.5754
"Ampton Street , Clerkenwell","Westbourne Grove, Bayswater",5.1464
"Ampton Street , Clerkenwell","William IV Street, Strand",2.0311
"Ampton Street , Clerkenwell","Windsor Terrace, Hoxton",1.7333
"Ampton Street , Clerkenwell","Woodstock Street, Mayfair",2.4848
"Ampton Street , Clerkenwell","Worship Street, Shoreditch",2.7483
"Argyle Street, Kings Cross","Albert Embankment, Vauxhall",4.3351
"Argyle Street, Kings Cross","Aldersgate Street, Barbican",2.0728
"Argyle Street, Kings Cross","Ampton Street , Clerkenwell",0.4573
"Argyle Street, Kings Cross","Argyle Street, Kings Cross",0.0
"Argyle Street, Kings Cross","Bankside Mix, Bankside",3.0964
"Argyle Street, Kings Cross","Bath Street, St. Luke's",2.3228
"Argyle Street, Kings Cross","Bethnal Green Road, Shoreditch",3.4629
"Argyle Street, Kings Cross","Bolsover Street, Fitzrovia",1.5105
"Argyle Street, Kings Cross","Borough High Street, The Borough",3.7873
"Argyle Street, Kings Cross","Boston Place, Marylebone",2.7622
"Argyle Street, Kings Cross","Braham Street, Aldgate",3.8746
"Argyle Street, Kings Cross","British Museum, Bloomsbury",1.1504
"Argyle Street, Kings Cross","Brunswick Square, Bloomsbury",0.6158
"Argyle Street, Kings Cross","Bruton Street, Mayfair",2.5043
"Argyle Street, Kings Cross","Calshot Street , King's Cross",0.5224
"Argyle Street, Kings Cross","Cartwright Gardens , Bloomsbury",0.368
"Argyle Street, Kings Cross","Chapel Place, Marylebone",2.2473
"Argyle Street, Kings Cross","Christopher Street, Liverpool Street",2.8678
"Argyle Street, Kings Cross","Clerkenwell Green, Clerkenwell",1.4965
"Argyle Street, Kings Cross","Cotton Garden Estate, Kennington",4.4682
"Argyle Street, Kings Cross","Crawford Street, Marylebone",2.5149
"Argyle Street, Kings Cross","Crosswall, Tower",3.7977
"Argyle Street, Kings Cross","Doric Way , Somers Town",0.5782
"Argyle Street, Kings Cross","Drummond Street , Euston",0.8693
